wanted,position,positionid,from,start,end
Q20429568,Deputy Prime Minister,Q108219454,Q108051533,2021-08-06,
Q85981586,Minister of Health,Q108219527,Q12720160,2021-08-06,
Q85981959,Minister of Education and Research,Q108084563,Q104420223,2020-03-16,2020-11-09
Q12720160,Minister of Labor and Social Protection,Q108219604,Q85981586,2019-11-14,2020-12-31
Q105705325,Minister of Agriculture and Food Industry,Q108219609,Q105516319,2019-06-08,2019-11-14
Q27346919,Minister of Health,Q108219527,Q12720160,2019-06-08,2019-11-14
Q58087,Deputy Prime Minister,Q108219454,Q21746918,2019-06-08,2019-11-12
Q85981585,"Minister of Health, Labour and Social Protection",Q110158331,Q27346919,2018-09-25,2019-06-08
Q12736771,member of the Parliament of Moldova,Q18390049,Q54152428,2018-05-11,2019-02-24
Q15071069,Minister of Education and Research,Q108084563,Q5170538,2015-07-30,2017-05-30
Q58087,Deputy Prime Minister,Q108219454,Q6968023,2013-05-30,2016-01-20
Q3656160,Deputy Prime Minister,Q108219454,Q6845152,2011-01-14,2013-05-16
Q12743629,Minister of Infrastructure and Regional Development,Q108084668,Q6756214,2009-09-25,2015-02-18
Q327463,Minister of Infrastructure and Regional Development,Q108084668,Q4752069,2009-09-25,2013-05-30
Q61299,First Deputy Prime Minister,Q98885878,Q4164146,2008-03-31,2009-09-14
Q3059587,President of the Moldovan Parliament,Q4376680,Q312340,2005-03-24,2009-05-05
