position,title
Q312271,President
Q1769526,Prime Minister
Q98885878,First Deputy Prime Minister
Q108219454,Deputy Prime Minister
Q108219506,Deputy Prime Minister for Digitization
Q108219136,Deputy Prime Minister for Reintegration
Q108219609,Minister of Agriculture and Food Industry
Q108219577,Minister of Culture
Q37807482,Minister of Defence
Q24576259,Minister of the Economy
Q108084563,Minister of Education and Research
Q108219572,Minister of the Environment
Q29933624,Minister of Finance
Q63051575,Minister of Foreign Affairs
Q108219527,Minister of Health
Q107486169,Minister of Informational Technologies and Communication
Q108084668,Minister of Infrastructure and Regional Development
Q108219544,Minister of Internal Affairs
Q29693019,Minister of Justice
Q108219604,Minister of Labor and Social Protection
Q4376680,President of the Moldovan Parliament
Q109567764,Governor of the Central Bank
Q5532129,General Prosecutor
Q109567748,Head of the Information and Security Service
Q12744232,Chief of the General Staff
Q2641738,Governor of Gagauzia
Q25552854,Mayor of Chișinău
Q108113609,Mayor of Orhei
Q6797680,Mayor of Bălți
